Verse,First Letter,Last Letter,Swara After Last,Chapter,Verse Number,Cumulative Number
सूर्यस्पर्धिकिरीटमूर्ध्वतिलकप्रोद्भासिफालान्तरंकारुण्याकुलनेत्रमार्द्रहसितोल्लासं सुनासापुटम्।गण्डोद्यन्मकराभकुण्डलयुगं कण्ठोज्वलत्कौस्तुभंत्वद्रूपं वनमाल्यहारपटलश्रीवत्सदीप्रं भजे॥१॥,स,ज,ए,2,1,11
केयूराङ्गदकङ्कणोत्तममहारत्नाङ्गुलीयाङ्कित-श्रीमद्बाहुचतुष्कसङ्गतगदाशङ्खारिपङ्केरुहाम् ।काञ्चित् काञ्चनकाञ्चिलाञ्च्छितलसत्पीताम्बरालम्बिनी-मालम्बे विमलाम्बुजद्युतिपदां मूर्तिं तवार्तिच्छिदम् ॥२॥,क,द,अ,2,2,12
यत्त्त्रैलोक्यमहीयसोऽपि महितं सम्मोहनं मोहनात्कान्तं कान्तिनिधानतोऽपि मधुरं माधुर्यधुर्यादपि ।सौन्दर्योत्तरतोऽपि सुन्दरतरं त्वद्रूपमाश्चर्यतोऽ-प्याश्चर्यं भुवने न कस्य कुतुकं पुष्णाति विष्णो विभो ॥३॥,य,भ,ओ,2,3,13
तत्तादृङ्मधुरात्मकं तव वपु: सम्प्राप्य सम्पन्मयीसा देवी परमोत्सुका चिरतरं नास्ते स्वभक्तेष्वपि ।तेनास्या बत कष्टमच्युत विभो त्वद्रूपमानोज्ञक -प्रेमस्थैर्यमयादचापलबलाच्चापल्यवार्तोदभूत् ॥४॥,त,भ,ऊ,2,4,14
लक्ष्मीस्तावकरामणीयकहृतैवेयं परेष्वस्थिरे-त्यस्मिन्नन्यदपि प्रमाणमधुना वक्ष्यामि लक्ष्मीपते ।ये त्वद्ध्यानगुणानुकीर्तनरसासक्ता हि भक्ता जना-स्तेष्वेषा वसति स्थिरैव दयितप्रस्तावदत्तादरा ॥५॥,ल,र,आ,2,5,15
एवंभूतमनोज्ञतानवसुधानिष्यन्दसन्दोहनंत्वद्रूपं परचिद्रसायनमयं चेतोहरं शृण्वताम् ।सद्य: प्रेरयते मतिं मदयते रोमाञ्चयत्यङ्गकंव्यासिञ्चत्यपि शीतवाष्पविसरैरानन्दमूर्छोद्भवै: ॥६॥,ए,व,ऐ,2,6,16
एवंभूततया हि भक्त्यभिहितो योगस्स योगद्वयात्कर्मज्ञानमयात् भृशोत्तमतरो योगीश्वरैर्गीयते ।सौन्दर्यैकरसात्मके त्वयि खलु प्रेमप्रकर्षात्मिकाभक्तिर्निश्रममेव विश्वपुरुषैर्लभ्या रमावल्लभ ॥७॥,ए,भ,अ,2,7,17
निष्कामं नियतस्वधर्मचरणं यत् कर्मयोगाभिधंतद्दूरेत्यफलं यदौपनिषदज्ञानोपलभ्यं पुन: ।तत्त्वव्यक्ततया सुदुर्गमतरं चित्तस्य तस्माद्विभोत्वत्प्रेमात्मकभक्तिरेव सततं स्वादीयसी श्रेयसी ॥८॥,न,स,ई,2,8,18
अत्यायासकराणि कर्मपटलान्याचर्य निर्यन्मलाबोधे भक्तिपथेऽथवाऽप्युचिततामायान्ति किं तावता ।क्लिष्ट्वा तर्कपथे परं तव वपुर्ब्रह्माख्यमन्ये पुन-श्चित्तार्द्रत्वमृते विचिन्त्य बहुभिस्सिद्ध्यन्ति जन्मान्तरै: ॥९॥,अ,र,ऐ,2,9,19
त्वद्भक्तिस्तु कथारसामृतझरीनिर्मज्जनेन स्वयंसिद्ध्यन्ती विमलप्रबोधपदवीमक्लेशतस्तन्वती ।सद्यस्सिद्धिकरी जयत्ययि विभो सैवास्तु मे त्वत्पद-प्रेमप्रौढिरसार्द्रता द्रुततरं वातालयाधीश्वर ॥१०॥,त,र,अ,2,10,20
पठन्तो नामानि प्रमदभरसिन्धौ निपतिता:स्मरन्तो रूपं ते वरद कथयन्तो गुणकथा: ।चरन्तो ये भक्तास्त्वयि खलु रमन्ते परममू-नहं धन्यान् मन्ये समधिगतसर्वाभिलषितान् ॥१॥,प,त,आ,3,1,21
गदक्लिष्टं कष्टं तव चरणसेवारसभरेऽ-प्यनासक्तं चित्तं भवति बत विष्णो कुरु दयाम् ।भवत्पादाम्भोजस्मरणरसिको नामनिवहा-नहं गायं गायं कुहचन विवत्स्यामि विजने ॥२॥,ग,न,ए,3,2,22
कृपा ते जाता चेत्किमिव न हि लभ्यं तनुभृतांमदीयक्लेशौघप्रशमनदशा नाम कियती ।न के के लोकेऽस्मिन्ननिशमयि शोकाभिरहिताभवद्भक्ता मुक्ता: सुखगतिमसक्ता विदधते ॥३॥,क,त,ए,3,3,23
मुनिप्रौढा रूढा जगति खलु गूढात्मगतयोभवत्पादाम्भोजस्मरणविरुजो नारदमुखा: ।चरन्तीश स्वैरं सततपरिनिर्भातपरचि -त्सदानन्दाद्वैतप्रसरपरिमग्ना: किमपरम् ॥४॥,म,र,अ,3,4,24
भवद्भक्ति: स्फीता भवतु मम सैव प्रशमये-दशेषक्लेशौघं न खलु हृदि सन्देहकणिका ।न चेद्व्यासस्योक्तिस्तव च वचनं नैगमवचोभवेन्मिथ्या रथ्यापुरुषवचनप्रायमखिलम् ॥५॥,भ,ल,अ,3,5,25
भवद्भक्तिस्तावत् प्रमुखमधुरा त्वत् गुणरसात्किमप्यारूढा चेदखिलपरितापप्रशमनी ।पुनश्चान्ते स्वान्ते विमलपरिबोधोदयमिल-न्महानन्दाद्वैतं दिशति किमत: प्रार्थ्यमपरम् ॥६॥,भ,र,अ,3,6,26
विधूय क्लेशान्मे कुरु चरणयुग्मं धृतरसंभवत्क्षेत्रप्राप्तौ करमपि च ते पूजनविधौ ।भवन्मूर्त्यालोके नयनमथ ते पादतुलसी-परिघ्राणे घ्राणं श्रवणमपि ते चारुचरिते ॥७॥,व,त,ए,3,7,27
प्रभूताधिव्याधिप्रसभचलिते मामकहृदित्वदीयं तद्रूपं परमसुखचिद्रूपमुदियात् ।उदञ्चद्रोमाञ्चो गलितबहुहर्षाश्रुनिवहोयथा विस्मर्यासं दुरुपशमपीडापरिभवान् ॥८॥,प,व,आ,3,8,28
मरुद्गेहाधीश त्वयि खलु पराञ्चोऽपि सुखिनोभवत्स्नेही सोऽहं सुबहु परितप्ये च किमिदम् ।अकीर्तिस्ते मा भूद्वरद गदभारं प्रशमयन्भवत् भक्तोत्तंसं झटिति कुरु मां कंसदमन ॥९॥,म,न,अ,3,9,29
किमुक्तैर्भूयोभिस्तव हि करुणा यावदुदिया-दहं तावद्देव प्रहितविविधार्तप्रलपितः ।पुरः क्लृप्ते पादे वरद तव नेष्यामि दिवसा-न्यथाशक्ति व्यक्तं नतिनुतिनिषेवा विरचयन् ॥१०॥,क,य,अ,3,10,30
कल्यतां मम कुरुष्व तावतीं कल्यते भवदुपासनं यया ।स्पष्टमष्टविधयोगचर्यया पुष्टयाशु तव तुष्टिमाप्नुयाम् ॥१॥,क,य,आ,4,1,31
ब्रह्मचर्यदृढतादिभिर्यमैराप्लवादिनियमैश्च पाविता: ।कुर्महे दृढममी सुखासनं पङ्कजाद्यमपि वा भवत्परा: ॥२॥,ब,र,आ,4,2,32
तारमन्तरनुचिन्त्य सन्ततं प्राणवायुमभियम्य निर्मला: ।इन्द्रियाणि विषयादथापहृत्यास्महे भवदुपासनोन्मुखा: ॥३॥,त,ख,आ,4,3,33
अस्फुटे वपुषि ते प्रयत्नतो धारयेम धिषणां मुहुर्मुहु: ।तेन भक्तिरसमन्तरार्द्रतामुद्वहेम भवदङ्घ्रिचिन्तका ॥४॥,अ,क,आ,4,4,34
विस्फुटावयवभेदसुन्दरं त्वद्वपु: सुचिरशीलनावशात् ।अश्रमं मनसि चिन्तयामहे ध्यानयोगनिरतास्त्वदाश्रयाः ॥५॥,व,य,आ,4,5,35
ध्यायतां सकलमूर्तिमीदृशीमुन्मिषन्मधुरताहृतात्मनाम् ।सान्द्रमोदरसरूपमान्तरं ब्रह्म रूपमयि तेऽवभासते ॥६॥,ध,त,ए,4,6,36
तत्समास्वदनरूपिणीं स्थितिं त्वत्समाधिमयि विश्वनायक ।आश्रिता: पुनरत: परिच्युतावारभेमहि च धारणादिकम् ॥७॥,त,क,अ,4,7,37
इत्थमभ्यसननिर्भरोल्लसत्त्वत्परात्मसुखकल्पितोत्सवा: ।मुक्तभक्तकुलमौलितां गता: सञ्चरेम शुकनारदादिवत् ॥८॥,इ,व,अ,4,8,38
त्वत्समाधिविजये तु य: पुनर्मङ्क्षु मोक्षरसिक: क्रमेण वा ।योगवश्यमनिलं षडाश्रयैरुन्नयत्यज सुषुम्नया शनै: ॥९॥,त,न,ऐ,4,9,39
लिङ्गदेहमपि सन्त्यजन्नथो लीयते त्वयि परे निराग्रह: ।ऊर्ध्वलोककुतुकी तु मूर्धत: सार्धमेव करणैर्निरीयते ॥१०॥,ल,त,ए,4,10,40
अग्निवासरवलर्क्षपक्षगैरुत्तरायणजुषा च दैवतै: ।प्रापितो रविपदं भवत्परो मोदवान् ध्रुवपदान्तमीयते ॥११॥,अ,त,ए,4,11,41
आस्थितोऽथ महरालये यदा शेषवक्त्रदहनोष्मणार्द्यते ।ईयते भवदुपाश्रयस्तदा वेधस: पदमत: पुरैव वा ॥१२॥,आ,व,आ,4,12,42
तत्र वा तव पदेऽथवा वसन् प्राकृतप्रलय एति मुक्तताम् ।स्वेच्छया खलु पुरा विमुच्यते संविभिद्य जगदण्डमोजसा ॥१३॥,त,स,आ,4,13,43
तस्य च क्षितिपयोमहोऽनिलद्योमहत्प्रकृतिसप्तकावृती: ।तत्तदात्मकतया विशन् सुखी याति ते पदमनावृतं विभो ॥१४॥,त,भ,ओ,4,14,44
अर्चिरादिगतिमीदृशीं व्रजन् विच्युतिं न भजते जगत्पते ।सच्चिदात्मक भवत् गुणोदयानुच्चरन्तमनिलेश पाहि माम् ॥१५॥,अ,म,आ,4,15,45
व्यक्ताव्यक्तमिदं न किञ्चिदभवत्प्राक्प्राकृतप्रक्षयेमायायाम् गुणसाम्यरुद्धविकृतौ त्वय्यागतायां लयम् ।नो मृत्युश्च तदाऽमृतं च समभून्नाह्नो न रात्रे: स्थिति-स्तत्रैकस्त्वमशिष्यथा: किल परानन्दप्रकाशात्मना ॥१॥,व,न,आ,5,1,46
काल: कर्म गुणाश्च जीवनिवहा विश्वं च कार्यं विभोचिल्लीलारतिमेयुषि त्वयि तदा निर्लीनतामाययु: ।तेषां नैव वदन्त्यसत्त्वमयि भो: शक्त्यात्मना तिष्ठतांनो चेत् किं गगनप्रसूनसदृशां भूयो भवेत्संभव: ॥२॥,क,व,अ,5,2,47
एवं च द्विपरार्धकालविगतावीक्षां सिसृक्षात्मिकांबिभ्राणे त्वयि चुक्षुभे त्रिभुवनीभावाय माया स्वयम् ।मायात: खलु कालशक्तिरखिलादृष्टं स्वभावोऽपि चप्रादुर्भूय गुणान्विकास्य विदधुस्तस्यास्सहायक्रियाम् ॥३॥,ए,य,आ,5,3,48
मायासन्निहितोऽप्रविष्टवपुषा साक्षीति गीतो भवान्भेदैस्तां प्रतिबिंबतो विविशिवान् जीवोऽपि नैवापर: ।कालादिप्रतिबोधिताऽथ भवता संचोदिता च स्वयंमाया सा खलु बुद्धितत्त्वमसृजद्योऽसौ महानुच्यते ॥४॥,म,त,ए,5,4,49
तत्रासौ त्रिगुणात्मकोऽपि च महान् सत्त्वप्रधान: स्वयंजीवेऽस्मिन् खलु निर्विकल्पमहमित्युद्बोधनिष्पाद्क: ।चक्रेऽस्मिन् सविकल्पबोधकमहन्तत्त्वं महान् खल्वसौसम्पुष्टं त्रिगुणैस्तमोऽतिबहुलं विष्णो भवत्प्रेरणात् ॥५॥,त,ण,आ,5,5,50
सोऽहं च त्रिगुणक्रमात् त्रिविधतामासाद्य वैकारिकोभूयस्तैजसतामसाविति भवन्नाद्येन सत्त्वात्मनादेवानिन्द्रियमानिनोऽकृत दिशावातार्कपाश्यश्विनोवह्नीन्द्राच्युतमित्रकान् विधुविधिश्रीरुद्रशारीरकान् ॥६॥,स,क,आ,5,6,51
भूमन् मानसबुद्ध्यहंकृतिमिलच्चित्ताख्यवृत्त्यन्वितंतच्चान्त:करणं विभो तव बलात् सत्त्वांश एवासृजत् ।जातस्तैजसतो दशेन्द्रियगणस्तत्तामसांशात्पुन-स्तन्मात्रं नभसो मरुत्पुरपते शब्दोऽजनि त्वद्बलात् ॥७॥,भ,ल,आ,5,7,52
श्ब्दाद्व्योम तत: ससर्जिथ विभो स्पर्शं ततो मारुतंतस्माद्रूपमतो महोऽथ च रसं तोयं च गन्धं महीम् ।एवं माधव पूर्वपूर्वकलनादाद्याद्यधर्मान्वितंभूतग्राममिमं त्वमेव भगवन् प्राकाशयस्तामसात् ॥८॥,श,स,आ,5,8,53
एते भूतगणास्तथेन्द्रियगणा देवाश्च जाता: पृथङ्-नो शेकुर्भुवनाण्डनिर्मितिविधौ देवैरमीभिस्तदा ।त्वं नानाविधसूक्तिभिर्नुतगुणस्तत्त्वान्यमून्याविशं-श्चेष्टाशक्तिमुदीर्य तानि घटयन् हैरण्यमण्डं व्यधा: ॥९॥,ए,ध,आ,5,9,54
अण्डं तत्खलु पूर्वसृष्टसलिलेऽतिष्ठत् सहस्रं समा:निर्भिन्दन्नकृथाश्चतुर्दशजगद्रूपं विराडाह्वयम् ।साहस्रै: करपादमूर्धनिवहैर्निश्शेषजीवात्मकोनिर्भातोऽसि मरुत्पुराधिप स मां त्रायस्व सर्वामयात् ॥१०॥,अ,य,आ,5,10,55
एवं चतुर्दशजगन्मयतां गतस्यपातालमीश तव पादतलं वदन्ति ।पादोर्ध्वदेशमपि देव रसातलं तेगुल्फद्वयं खलु महातलमद्भुतात्मन् ॥१॥,ए,म,अ,6,1,56
जङ्घे तलातलमथो सुतलं च जानूकिञ्चोरुभागयुगलं वितलातले द्वे ।क्षोणीतलं जघनमम्बरमङ्ग नाभि-र्वक्षश्च शक्रनिलयस्तव चक्रपाणे ॥२॥,ज,ण,ए,6,2,57
ग्रीवा महस्तव मुखं च जनस्तपस्तुफालं शिरस्तव समस्तमयस्य सत्यम् ।एवं जगन्मयतनो जगदाश्रितैर-प्यन्यैर्निबद्धवपुषे भगवन्नमस्ते ॥३॥,ग,त,ए,6,3,58
त्वद्ब्रह्मरन्ध्रपदमीश्वर विश्वकन्दछन्दांसि केशव घनास्तव केशपाशा: ।उल्लासिचिल्लियुगलं द्रुहिणस्य गेहंपक्ष्माणि रात्रिदिवसौ सविता च नेत्रै ॥४॥,त,र,ऐ,6,4,59
निश्शेषविश्वरचना च कटाक्षमोक्ष:कर्णौ दिशोऽश्वियुगलं तव नासिके द्वे ।लोभत्रपे च भगवन्नधरोत्तरोष्ठौतारागणाश्च दशना: शमनश्च दंष्ट्रा ॥५॥,न,र,आ,6,5,60
माया विलासहसितं श्वसितं समीरोजिह्वा जलं वचनमीश शकुन्तपङ्क्ति: ।सिद्धादय: स्वरगणा मुखरन्ध्रमग्नि-र्देवा भुजा: स्तनयुगं तव धर्मदेव: ॥६॥,म,व,अ,6,6,61
पृष्ठं त्वधर्म इह देव मन: सुधांशु -रव्यक्तमेव हृदयंबुजमम्बुजाक्ष ।कुक्षि: समुद्रनिवहा वसनं तु सन्ध्येशेफ: प्रजापतिरसौ वृषणौ च मित्र: ॥७॥,प,र,अ,6,7,62
श्रोणीस्थलं मृगगणा: पदयोर्नखास्तेहस्त्युष्ट्रसैन्धवमुखा गमनं तु काल: ।विप्रादिवर्णभवनं वदनाब्जबाहु-चारूरुयुग्मचरणं करुणांबुधे ते ॥८॥,श,त,ए,6,8,63
संसारचक्रमयि चक्रधर क्रियास्तेवीर्यं महासुरगणोऽस्थिकुलानि शैला: ।नाड्यस्सरित्समुदयस्तरवश्च रोमजीयादिदं वपुरनिर्वचनीयमीश ॥९॥,स,श,अ,6,9,64
ईदृग्जगन्मयवपुस्तव कर्मभाजांकर्मावसानसमये स्मरणीयमाहु: ।तस्यान्तरात्मवपुषे विमलात्मने तेवातालयाधिप नमोऽस्तु निरुन्धि रोगान् ॥१०॥,ई,ग,आ,6,10,65
एवं देव चतुर्दशात्मकजगद्रूपेण जात: पुन-स्तस्योर्ध्वं खलु सत्यलोकनिलये जातोऽसि धाता स्वयम् ।यं शंसन्ति हिरण्यगर्भमखिलत्रैलोक्यजीवात्मकंयोऽभूत् स्फीतरजोविकारविकसन्नानासिसृक्षारस: ॥१॥,ए,स,अ,7,1,66
सोऽयं विश्वविसर्गदत्तहृदय: सम्पश्यमान: स्वयंबोधं खल्वनवाप्य विश्वविषयं चिन्ताकुलस्तस्थिवान् ।तावत्त्वं जगतां पते तप तपेत्येवं हि वैहायसींवाणीमेनमशिश्रव: श्रुतिसुखां कुर्वंस्तप:प्रेरणाम् ॥२॥,स,ण,आ,7,2,67
कोऽसौ मामवदत् पुमानिति जलापूर्णे जगन्मण्डलेदिक्षूद्वीक्ष्य किमप्यनीक्षितवता वाक्यार्थमुत्पश्यता ।दिव्यं वर्षसहस्रमात्ततपसा तेन त्वमाराधित -स्तस्मै दर्शितवानसि स्वनिलयं वैकुण्ठमेकाद्भुतम् ॥३॥,क,त,अ,7,3,68
माया यत्र कदापि नो विकुरुते भाते जगद्भ्यो बहि:शोकक्रोधविमोहसाध्वसमुखा भावास्तु दूरं गता: ।सान्द्रानन्दझरी च यत्र परमज्योति:प्रकाशात्मकेतत्ते धाम विभावितं विजयते वैकुण्ठरूपं विभो ॥४॥,म,भ,ओ,7,4,69
यस्मिन्नाम चतुर्भुजा हरिमणिश्यामावदातत्विषोनानाभूषणरत्नदीपितदिशो राजद्विमानालया: ।भक्तिप्राप्ततथाविधोन्नतपदा दीव्यन्ति दिव्या जना-तत्ते धाम निरस्तसर्वशमलं वैकुण्ठरूपं जयेत् ॥५॥,य,य,ए,7,5,70
नानादिव्यवधूजनैरभिवृता विद्युल्लतातुल्ययाविश्वोन्मादनहृद्यगात्रलतया विद्योतिताशान्तरा ।त्वत्पादांबुजसौरभैककुतुकाल्लक्ष्मी: स्वयं लक्ष्यतेयस्मिन् विस्मयनीयदिव्यविभवं तत्ते पदं देहि मे ॥६॥,न,म,ए,7,6,71
तत्रैवं प्रतिदर्शिते निजपदे रत्नासनाध्यासितंभास्वत्कोटिलसत्किरीटकटकाद्याकल्पदीप्राकृति ।श्रीवत्साङ्कितमात्तकौस्तुभमणिच्छायारुणं कारणंविश्वेषां तव रूपमैक्षत विधिस्तत्ते विभो भातु मे ॥७॥,त,म,ए,7,7,72
कालांभोदकलायकोमलरुचीचक्रेण चक्रं दिशा -मावृण्वानमुदारमन्दहसितस्यन्दप्रसन्नाननम् ।राजत्कम्बुगदारिपङ्कजधरश्रीमद्भुजामण्डलंस्रष्टुस्तुष्टिकरं वपुस्तव विभो मद्रोगमुद्वासयेत् ॥८॥,क,य,ए,7,8,73
दृष्ट्वा सम्भृतसम्भ्रम: कमलभूस्त्वत्पादपाथोरुहेहर्षावेशवशंवदो निपतित: प्रीत्या कृतार्थीभवन् ।जानास्येव मनीषितं मम विभो ज्ञानं तदापादयद्वैताद्वैतभवत्स्वरूपपरमित्याचष्ट तं त्वां भजे ॥९॥,द,ज,ए,7,9,74
आताम्रे चरणे विनम्रमथ तं हस्तेन हस्ते स्पृशन्बोधस्ते भविता न सर्गविधिभिर्बन्धोऽपि सञ्जायते ।इत्याभाष्य गिरं प्रतोष्य नितरां तच्चित्तगूढ: स्वयंसृष्टौ तं समुदैरय: स भगवन्नुल्लासयोल्लाघताम् ॥१०॥,आ,त,आ,7,10,75
एवं तावत् प्राकृतप्रक्षयान्तेब्राह्मे कल्पे ह्यादिमे लब्धजन्मा ।ब्रह्मा भूयस्त्वत्त एवाप्य वेदान्सृष्टिं चक्रे पूर्वकल्पोपमानाम् ॥१॥,ए,न,आ,8,1,76
सोऽयं चतुर्युगसहस्रमितान्यहानितावन्मिताश्च रजनीर्बहुशो निनाय ।निद्रात्यसौ त्वयि निलीय समं स्वसृष्टै-र्नैमित्तिकप्रलयमाहुरतोऽस्य रात्रिम् ॥२॥,स,र,इ,8,2,77
अस्मादृशां पुनरहर्मुखकृत्यतुल्यांसृष्टिं करोत्यनुदिनं स भवत्प्रसादात् ।प्राग्ब्राह्मकल्पजनुषां च परायुषां तुसुप्तप्रबोधनसमास्ति तदाऽपि सृष्टि: ॥३॥,अ,ट,इ,8,3,78
पञ्चाशदब्दमधुना स्ववयोर्धरूप-मेकं परार्धमतिवृत्य हि वर्ततेऽसौ ।तत्रान्त्यरात्रिजनितान् कथयामि भूमन्पश्चाद्दिनावतरणे च भवद्विलासान् ॥४॥,प,स,आ,8,4,79
दिनावसानेऽथ सरोजयोनि:सुषुप्तिकामस्त्वयि सन्निलिल्ये ।जगन्ति च त्वज्जठरं समीयु-स्तदेदमेकार्णवमास विश्वम् ॥५॥,द,व,अ,8,5,80
तवैव वेषे फणिराजि शेषेजलैकशेषे भुवने स्म शेषे ।आनन्दसान्द्रानुभवस्वरूप:स्वयोगनिद्रापरिमुद्रितात्मा ॥६॥,त,म,आ,8,6,81
कालाख्यशक्तिं प्रलयावसानेप्रबोधयेत्यादिशता किलादौ ।त्वया प्रसुप्तं परिसुप्तशक्ति-व्रजेन तत्राखिलजीवधाम्ना ॥७॥,क,न,आ,8,7,82
चतुर्युगाणां च सहस्रमेवंत्वयि प्रसुप्ते पुनरद्वितीये ।कालाख्यशक्ति: प्रथमप्रबुद्धाप्राबोधयत्त्वां किल विश्वनाथ ॥८॥,च,थ,अ,8,8,83
विबुध्य च त्वं जलगर्भशायिन्विलोक्य लोकानखिलान् प्रलीनान् ।तेष्वेव सूक्ष्मात्मतया निजान्त: -स्थितेषु विश्वेषु ददाथ दृष्टिम् ॥९॥,व,ट,इ,8,9,84
ततस्त्वदीयादयि नाभिरन्ध्रा-दुदञ्चितं किंचन दिव्यपद्मम् ।निलीननिश्शेषपदार्थमाला-संक्षेपरूपं मुकुलायमानम् ॥१०॥,त,न,अ,8,10,85
तदेतदंभोरुहकुड्मलं तेकलेवरात् तोयपथे प्ररूढम् ।बहिर्निरीतं परित: स्फुरद्भि:स्वधामभिर्ध्वान्तमलं न्यकृन्तत् ॥११॥,त,त,अ,8,11,86
संफुल्लपत्रे नितरां विचित्रेतस्मिन् भवद्वीर्यधृते सरोजे ।स पद्मजन्मा विधिराविरासीत्स्वयंप्रबुद्धाखिलवेदराशि: ॥१२॥,स,श,इ,8,12,87
अस्मिन् परात्मन् ननु पाद्मकल्पेत्वमित्थमुत्थापितपद्मयोनि: ।अनन्तभूमा मम रोगराशिंनिरुन्धि वातालयवास विष्णो ॥१३॥,अ,ण,ओ,8,13,88
स्थितस्स कमलोद्भवस्तव हि नाभिपङ्केरुहेकुत: स्विदिदमम्बुधावुदितमित्यनालोकयन् ।तदीक्षणकुतूहलात् प्रतिदिशं विवृत्तानन-श्चतुर्वदनतामगाद्विकसदष्टदृष्ट्यम्बुजाम् ॥१॥,स,ज,आ,9,1,89
महार्णवविघूर्णितं कमलमेव तत्केवलंविलोक्य तदुपाश्रयं तव तनुं तु नालोकयन् ।क एष कमलोदरे महति निस्सहायो ह्यहंकुत: स्विदिदम्बुजं समजनीति चिन्तामगात् ॥२॥,म,ग,आ,9,2,90
अमुष्य हि सरोरुह: किमपि कारणं सम्भ्वे-दिति स्म कृतनिश्चयस्स खलु नालरन्ध्राध्वना ।स्वयोगबलविद्यया समवरूढवान् प्रौढधी -स्त्वदीयमतिमोहनं न तु कलेवरं दृष्टवान् ॥३॥,अ,व,आ,9,3,91
तत: सकलनालिकाविवरमार्गगो मार्गयन्प्रयस्य शतवत्सरं किमपि नैव संदृष्टवान् ।निवृत्य कमलोदरे सुखनिषण्ण एकाग्रधी:समाधिबलमादधे भवदनुग्रहैकाग्रही ॥४॥,त,ह,ई,9,4,92
